level_0	hhid07	pid07	panel	tk01	tk02	tk03	tk04	tk01a	tk01b	tk01c	tk01d	tk25a9x	age	marstat	sex	link	hhsize	nonfood	food	total	kabid	nmkab2014	pce	sc05	sc21x	ar02b_07	hhid00	pid00	dl06	dl05a	dl07a	dl30	dl42	index	dl2type	dl16j	dl10	dl16c2	dl16e	dl11d	dl11e	dl11f	sw01	sw03b	kk01	kk02a	kk02c	nonfood00	food00	total00	pce00	change
1375	0422600	6	3	3	3	3	3	3	1	3	3		18	1	3	042260006	6	265061.61	221791.29	486852.89	1609	OGAN KOMERING ULU TIMUR	444748.22	2	11	3	0422600	6	74	6	1	1	1	3099	3	30	74			6			3	2	2	2	2	69120.466	138581.38	207701.84	207701.86	279151.05
1376	0422600	6	3	3	3	3	3	3	1	3	3		18	1	3	042260006	6	265061.61	221791.29	486852.89	1609	OGAN KOMERING ULU TIMUR	444748.22	2	11	3	0422600	6	74	6	1	1	1	3099	3	30	74			6			3	2	2	2	2	69708.412	139760.17	209468.58	209468.6	277384.32
1378	0422800	5	3	3	3	3	3	3	1	1	3		16	1	3	042280005	4	1172351.9	791422.95	1963774.8	1609	OGAN KOMERING ULU TIMUR	1735413.6	2	11	3	0422800	5	5	6	1	1	3	3105	3	30	5			6			3	2	2	2	2	143252.5	291058.97	434311.5	415275.56	1529463.3
1379	0422800	5	3	3	3	3	3	3	1	1	3		16	1	3	042280005	4	1172351.9	791422.95	1963774.8	1609	OGAN KOMERING ULU TIMUR	1735413.6	2	11	3	0422800	5	5	6	1	1	3	3105	3	30	5			6			3	2	2	2	2	144471.03	293534.75	438005.8	418807.94	1525769
1381	0422941	3	3	3	3	3	3	3	1	3	3		15	1	3	042290006	3	105968.13	103778.12	209746.24	1609	OGAN KOMERING ULU TIMUR	206213.98	2	13	10	0422900	6	3	6	3	1	3	3114	2	30	3			3	C	2008	3	2	2	0	2	86117.48	184340.73	270458.21	265357.47	-60711.969
1382	0422941	3	3	3	3	3	3	3	1	3	3		15	1	3	042290006	3	105968.13	103778.12	209746.24	1609	OGAN KOMERING ULU TIMUR	206213.98	2	13	10	0422900	6	3	6	3	1	3	3114	2	30	3			3	C	2008	3	2	2	0	2	89757.214	192131.84	281889.06	276572.74	-72142.818
1383	0423000	3	3	4	1			1	3	1	3		20	1	3	042300003	5	149923.7	565361.14	715284.84	1609	OGAN KOMERING ULU TIMUR	644498.15	2	11	3	0423000	3	15	7	3	1	3	3117	3	30	15	5	42.6			2007	3	2	2	5	2	102776.31	95712.525	198488.84	194271.65	516796.01
1384	0423000	3	3	4	1			1	3	1	3		20	1	3	042300003	5	149923.7	565361.14	715284.84	1609	OGAN KOMERING ULU TIMUR	644498.15	2	11	3	0423000	3	15	7	3	1	3	3117	3	30	15	5	42.6			2007	3	2	2	5	2	103650.54	96526.667	200177.2	195924.15	515107.64
1386	0423000	4	3	3	3	3	3	3	1	3	3		15	1	1	042300004	5	149923.7	565361.14	715284.84	1609	OGAN KOMERING ULU TIMUR	644498.15	2	11	3	0423000	4	74	6	1	1	3	3120	3	15	74			6			1	1	4	2	2	102776.31	95712.525	198488.84	194271.65	516796.01
1387	0423000	4	3	3	3	3	3	3	1	3	3		15	1	1	042300004	5	149923.7	565361.14	715284.84	1609	OGAN KOMERING ULU TIMUR	644498.15	2	11	3	0423000	4	74	6	1	1	3	3120	3	15	74			6			1	1	4	2	2	103650.54	96526.667	200177.2	195924.15	515107.64
1389	0610500	5	3	3	3	3	3	3	1	3	3		17	1	3	061050005	5	307720.84	126627.67	434348.51	1609	OGAN KOMERING ULU TIMUR	423751.67	2	11	3	0610500	5	6	6	1	1	3	4626	3	20	6			6			3	2	2	0	2	78028.904	260791.9	338820.79	309900.85	95527.711
1390	0610500	5	3	3	3	3	3	3	1	3	3		17	1	3	061050005	5	307720.84	126627.67	434348.51	1609	OGAN KOMERING ULU TIMUR	423751.67	2	11	3	0610500	5	6	6	1	1	3	4626	3	20	6			6			3	2	2	0	2	78692.626	263010.22	341702.84	312536.9	92645.663
1392	0410900	3	3	1				1	3	3	3		18	1	1	041090003	4	219777.89	491798.06	711575.96	1602	OGAN KOMERING ILIR	600309.44	2	11	3	0410900	3	3	7	3	3		2947	2	15	3	3	17.83			2005	3	2	2	0	2	99902.531	296606.42	396508.96	383218.16	315066.99
