index,level_0,Scparfundraise,Scparinkind,Scsizeinkind,Pcont,Pcont_physical,Scrapbs,Screcrapbs,Scdistrapbs,Spinviterapbs,Spparentsrapbs,Pmtgrapbs,Prapbs,data_x,parent_input,School_management,bhs_score_,data_y,math_score_,nilai_bhs_indonesia,nilai_matematika,num_student,C1,grade4_student,grade4_do,grade456_student,grade456_do,data_x,dropoutrate_4,dropoutrate,index_id3,Anak_kerja,Jarak_sekolah,Biaya_kesokla,Waktu_tempuhsekolah,Incomertperbulan,Jumlah_anggotart,incomepercap_bulan,Perankomite_baseps_score,School_cont_p_score,School_cont_sp_score,School_cont_sc_score,School_cont_tc_score,School_condi_score,year_schooling_parent_wali,Usia_ortu,data_y,biayasekolah,nss,kabupaten,kecamatan,nama_sekolah,felect,pelect,atrain,alink,agrant,treat
116_baseline,35,0.0,0,2,0.0,0,0,0,1,1,1,0.0,4.0,baseline,0.1,0.571428571,29.14728682,baseline,35.42635659,376,457,43,101033000000.0,63,0,172,0,baseline,0.0,0.0,116,0.0,533.3333333,,11.66666667,108055.5553,5.0,21611.11107,2.666666667,2.722222222,3.0,2.666666667,2.833333333,2.8055555560000003,4.5,38.5,baseline,0.0,101000000000.0,BREBES,SONGGOM,KR SEMBUNG 03,0.0,0.0,0.0,0.0,1.0,Grant
116_endline,36,0.0,0,2,0.0,0,0,0,0,1,1,0.333333333,1.333333333,endline,0.1,0.380952381,32.85714286,endline,28.49206349,414,359,42,101033000000.0,39,0,152,0,endline,0.0,0.0,116,0.0,300.0,,8.333333332999999,899666.6667,4.666666667,192785.7143,3,2.666666667,2.0,3.0,3.0,2.666666667,6.142857143,39.5,endline,56666.67,101000000000.0,BREBES,SONGGOM,KR SEMBUNG 03,0.0,0.0,0.0,0.0,1.0,Grant
117_baseline,37,0.0,0,2,0.0,0,0,0,1,1,1,0.0,4.0,baseline,0.1,0.571428571,26.00938967,baseline,38.12206573,554,812,71,101033000000.0,74,0,193,0,baseline,0.0,0.0,117,0.666666667,500.0,,10.0,2250000.0,5.0,450000.0,3,2.666666667,2.833333333,2.833333333,2.833333333,2.791666667,7.5,34.5,baseline,5000.0,101000000000.0,,,,0.0,0.0,0.0,0.0,0.0,Control
117_endline,38,0.0,0,2,75000.0,0,0,1,1,1,1,0.0,1.571428571,endline,0.1015,0.62755102,50.68783069,endline,26.45502646,958,500,63,101033000000.0,65,0,199,0,endline,0.0,0.0,117,0.333333333,68.33333333,,4.0,1200000.0,6.333333333,189473.6842,3,2.888888889,2.0,2.5,2.666666667,2.513888889,8.142857143,35.0,endline,10000.0,101000000000.0,,,,0.0,0.0,0.0,0.0,0.0,Control
118_baseline,39,0.0,0,2,0.0,0,0,0,1,0,0,0.0,1.333333333,baseline,0.1,0.19047619,24.7311828,baseline,35.05376344,230,326,31,101033000000.0,33,0,103,0,baseline,0.0,0.0,118,0.0,440.0,,5.333333333,633333.333,4.666666667,135714.2856,#DIV/0!,2.611111111,3.0,2.666666667,2.833333333,2.777777778,6.5,42.0,baseline,0.0,101000000000.0,BREBES,SONGGOM,SDN SONGGOM 04,0.0,1.0,0.0,0.0,1.0,"Grant, Election"
118_endline,40,9999999998.0,0,2,0.0,0,1,1,1,0,1,0.0,1.375,endline,0.2,0.620535714,34.16666667,endline,23.45238095,287,197,28,101033000000.0,146,0,216,0,endline,0.0,0.0,118,0.0,416.6666667,,9.333333332999999,666666.6667,5.666666667,117647.0588,2.777777778,3.0,2.0,3.0,3.166666667,2.791666667,6,42.0,endline,100000.0,101000000000.0,BREBES,SONGGOM,SDN SONGGOM 04,0.0,1.0,0.0,0.0,1.0,"Grant, Election"
119_baseline,41,50000.0,0,2,0.0,0,0,0,1,1,1,0.0,4.0,baseline,0.100263158,0.571428571,22.16666667,baseline,33.44444444,399,602,60,101033000000.0,66,0,199,0,baseline,0.0,0.0,119,1.0,150.0,,5.0,1068888.889,9.333333332999999,114523.8095,2.777777778,2.777777778,2.666666667,3.0,3.333333333,2.944444445,3,13.83333333,baseline,50000.0,101000000000.0,BREBES,SONGGOM,KR SEMBUNG 03,0.0,0.0,0.0,0.0,1.0,Grant
119_endline,42,19999999996.0,0,2,0.0,0,1,0,0,1,1,0.0,2.0,endline,0.3,0.5,36.4,endline,24.0,546,360,50,101033000000.0,55,0,162,0,endline,0.0,0.0,119,0.0,66.66666667,,5.666666667,1116666.6670000001,6.0,186111.1112,3,3.0,2.0,3.0,2.5,2.625,9,52.33333333,endline,16666.67,101000000000.0,BREBES,SONGGOM,KR SEMBUNG 03,0.0,0.0,0.0,0.0,1.0,Grant
11_baseline,43,0.0,1,3,0.0,0,0,0,1,0,0,0.666666667,0.333333333,baseline,0.35,0.25,30.0,baseline,38.62068966,261,336,29,101033000000.0,31,0,68,0,baseline,0.0,0.0,11,0.0,700.0,,4.333333333,,6.333333333,0.0,3,0.666666667,2.666666667,3.0,2.666666667,2.25,6,18.5,baseline,13000.0,101000000000.0,,,,0.0,0.0,0.0,0.0,0.0,Control
11_endline,44,30000.0,1,3,55000.0,1,0,0,0,1,1,0.333333333,1.333333333,endline,0.5511003000000001,0.380952381,49.52380952,endline,25.23809524,416,212,28,101033000000.0,21,0,55,1,endline,0.0,0.018181818,11,0.0,263.3333333,,18.33333333,941222.0,4.0,235305.5,3,2.277777778,2.0,2.666666667,2.666666667,2.402777778,6.5,36.83333333,endline,0.0,101000000000.0,,,,0.0,0.0,0.0,0.0,0.0,Control
