index,Scparinkind,Scsizeinkind,Scparfundraise_a,Tjumlah,Scrapbs,Screcrapbs,Scdistrapbs,Spparentsrapbs,Scbpd,Scsatbpd,Spbpd,Spsatbpd,Scsatlearn,Tsatlearn,Spsatlearn,Spsceffective_a,Spsceffective_b,Spsceffective_c,Spsceffective_d,Scposcontr,Tscperception_a,Tscperception_b,Tscperception_c,Tscperception_d,Scparfundraise_b,Scmeettripartite,Spinviterapbs,Pcont,Pcont_physical,Pnsteach,Gttteach_govt1,Gttteach_govt2,Gttteach_school,Gttteach_govt,Pscanswer,Pknow_scexist,Pmtgrapbs,Psatlearnknow,Pknow_scmem,Prap_a,Prap_b,Prap_c,Prap_d,Prapbs,Scparfundraise,Spinviterapbs_score,Tscperception
408,0,,,7,0,0,1,1,0,3,0,3,2,2,2,1,1,1,1,1,8,10,10,8,,2,1,0,0,4,,,3,,0.074074074,0.666666667,0.666666667,2.666666667,2,0.285714286,0,0,0,0.285714286,0,0,9
409,0,,,7,0,0,1,1,0,1,0,2,2,2,2,1,1,1,1,1,9,10,10,8,,2,1,0,0,4,,,3,,0,0,0.666666667,2.333333333,,1,1,0.714285714,0.714285714,3.428571429,0,0,9.25
410,0,,1,6,0,0,0,1,1,2,1,2,3,2,2,1,1,1,1,0,8,8,8,8,,1,0,0,0,3,,,3,,0.037037037,1,0,3,1.666666667,1,0,0,0,1,15000,0,8
411,0,,,8,0,0,1,1,0,8,0,2,3,2,2,1,1,1,1,1,9,8,9,8,1,1,1,0,0,6,,,2,,0,0,0.666666667,3,,0,0,0,0,0,10000,0,8.5
412,0,,1,9,0,0,1,1,0,2,0,2,3,2,3,1,1,1,1,1,8,9,9,8,6,1,1,0,0,6,,,3,,0.037037037,0.333333333,1,2,2,0.285714286,0.285714286,0.285714286,0.285714286,1.142857143,6588000,0,8.5
413,0,,,9,0,0,1,1,0,1,0,3,2,3,3,1,1,1,1,1,8,8,9,9,5,3,1,0,0,6,,,3,,0.074074074,0.666666667,0.333333333,2.5,3,1,0.571428571,0.571428571,0.285714286,2.428571429,50000,0,8.5
414,0,,,9,0,0,1,1,1,3,0,2,3,3,2,1,1,1,1,1,7,8,7,6,5,2,1,0,0,5,,,4,,0.148148148,1,0.666666667,2.666666667,2,0.666666667,0.333333333,0.666666667,0.666666667,2.333333333,50000,0,7
415,0,,,8,0,0,1,0,0,3,0,3,2,2,2,1,1,2,1,1,8,8,9,8,,4,0,0,0,2,,,6,,0.148148148,1,1,2,2.333333333,1,0.666666667,0.666666667,0.333333333,2.666666667,0,,8.25
416,0,,,10,0,1,1,1,0,2,1,3,2,2,3,1,1,1,1,0,9,9,9,9,5,4,1,0,0,6,,1,3,,0.092592593,0.333333333,1,2.833333333,2.5,0.785714286,0.642857143,0.5,0.214285714,2.142857143,50000,0,9
417,0,,,,0,0,0,0,0,,0,,,,,,,,,0,,,,,,,0,0,0,,,,,,0.222222222,1,1,3,1,1,1,1,0,3,0,,
